stableID,name,abbreviation,family,concept,primaryColorHex,secondaryColorHex,assetName,filename,generationStatus,humanApproved,reviewNotes
0017F958-E7D0-4FFC-9EA8-01A252B40FD6,"Altus, OK Polytechnic Institute",ALT,animalCreature,"a bold falcon shaped by the Heath landscape of Altus, OK City College",#E1ED35,#605CC1,TeamLogo_0017F958E7D04FFC9EA801A252B40FD6,TeamLogo_0017F958E7D04FFC9EA801A252B40FD6.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
00EBE0C0-2B2B-4988-A450-BB870D6D3881,"Carlsbad, NM Technical College",CAR,regionalSymbol,"a single pale-limestone bridge arch over a narrow dark river for Carlsbad, NM Normal Institute, with no animals or ivory tusks",#093909,#F2D864,TeamLogo_00EBE0C02B2B4988A450BB870D6D3881,TeamLogo_00EBE0C02B2B4988A450BB870D6D3881.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
0213C958-E155-4E93-8E36-AA606F8A670A,"Alamo, TN Regional University",ALA,equipmentVehicle,"a compact double-stack canal tugboat with a high pilothouse, squared fenders, and a blunt bow",#E98BBA,#185D1F,TeamLogo_0213C958E1554E938E36AA606F8A670A,TeamLogo_0213C958E1554E938E36AA606F8A670A.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
04EF984B-6B83-4A84-8F5E-A9628DED2CFA,"Agoura Hills, CA Regional College",AGO,originalCharacter,"a reed-crowned storm warden, an original non-human marsh guardian with a split lightning crest and a broad cloak-like silhouette inspired by Agoura Hills, CA Technical College",#2595C1,#184332,TeamLogo_04EF984B6B834A848F5EA9628DED2CFA,TeamLogo_04EF984B6B834A848F5EA9628DED2CFA.png,approved,True,Owner approved the originalCharacter 20/32/44px light/dark specimen on 2026-08-20.
05293748-863A-4125-9807-C9C4C35E4C11,"Audubon Park, KY Silver Kestrels",AUD,framedEmblem,"a compass roundel framing a turquoise contour basin split by one dark basalt inlet for Audubon Park, KY Silver Kestrels",#231575,#7CF8F0,TeamLogo_05293748863A41259807C9C4C35E4C11,TeamLogo_05293748863A41259807C9C4C35E4C11.png,approved,True,Owner approved the framedEmblem 20/32/44px light/dark specimen on 2026-08-20.
05BCBD14-EF5E-47F3-9261-66202C01D839,"Ada, MN Regional University",ADA,abstractMotion,"an original three-blade harbor current curling around a dark bluff-edge void, a single abstract surge for Brack Bluff",#F9A04D,#672F04,TeamLogo_05BCBD14EF5E47F3926166202C01D839,TeamLogo_05BCBD14EF5E47F3926166202C01D839.png,approved,True,Owner approved the abstractMotion 20/32/44px light/dark specimen on 2026-08-20.
0A036DF9-329B-4C20-A80D-D53506FCFDD6,"Ashland, VA Research University",ASH,animalCreature,"a bold copper fox shaped by the Heath landscape of Ashland, VA Maritime Institute",#EA85A7,#0C3B0F,TeamLogo_0A036DF9329B4C20A80DD53506FCFDD6,TeamLogo_0A036DF9329B4C20A80DD53506FCFDD6.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
0D81D2F9-0383-4BD5-A741-76604D277691,"Cortland, NY A&M University",COR,regionalSymbol,"an angular timber ferry pier with one tall signal beacon for Cortland, NY Polytechnic Institute",#3A258D,#F75074,TeamLogo_0D81D2F903834BD5A74176604D277691,TeamLogo_0D81D2F903834BD5A74176604D277691.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
0F05F4F3-68CA-4674-B210-9DD7B75E1088,"Franklin, NH University",FRA,equipmentVehicle,"a forged hexagonal moorland signal lantern with a flared chimney, slotted crown, and stout pedestal",#462D8F,#3CAEB9,TeamLogo_0F05F4F368CA4674B2109DD7B75E1088,TeamLogo_0F05F4F368CA4674B2109DD7B75E1088.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
0FB78D18-D089-4719-B861-DD1E9F9C2082,"Blades, DE Technical College",BLA,originalCharacter,"a brass-beaked tide navigator, an original non-human harbor guardian with a crescent prow brow and coiled-rope collar silhouette for Kestrel Landing",#143838,#C97754,TeamLogo_0FB78D18D0894719B861DD1E9F9C2082,TeamLogo_0FB78D18D0894719B861DD1E9F9C2082.png,approved,True,Owner approved the originalCharacter 20/32/44px light/dark specimen on 2026-08-20.
0FDAFFDF-1E00-48D6-8F52-98BEC1B9254A,"Belt, MT University",BEL,framedEmblem,"a pennant crest framing a low pink-heather moor rising around one black peat-cut monolith for Belt, MT Institute",#DFA5C6,#22133F,TeamLogo_0FDAFFDF1E0048D68F5298BEC1B9254A,TeamLogo_0FDAFFDF1E0048D68F5298BEC1B9254A.png,approved,True,Owner approved the framedEmblem 20/32/44px light/dark specimen on 2026-08-20.
1032E7BD-52E6-4C02-85D4-4DC399B13B7A,"Ashtabula, OH Technical College",ASH,abstractMotion,"an original diagonal cinder fan bursting from a curved Pellham breakwater gap, a single abstract landing-force symbol",#91DB8A,#540D59,TeamLogo_1032E7BD52E64C0285D44DC399B13B7A,TeamLogo_1032E7BD52E64C0285D44DC399B13B7A.png,approved,True,Owner approved the abstractMotion 20/32/44px light/dark specimen on 2026-08-20.
1046C325-5F27-488E-8D1F-EFF7F0D1AD41,"Atlantic Beach, SC Research Institute",ATL,animalCreature,"a bold black bear shaped by the Ridge landscape of Atlantic Beach, SC Polytechnic Institute",#1AA4BC,#65255E,TeamLogo_1046C3255F27488E8D1FEFF7F0D1AD41,TeamLogo_1046C3255F27488E8D1FEFF7F0D1AD41.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
12F8D336-88BE-4F10-A59A-048E58538175,"Ellsworth, ME Silver Delvers",ELL,regionalSymbol,"a carved stone culvert crossing one curling hollow stream for Ellsworth, ME Silver Delvers",#F1C937,#1C7915,TeamLogo_12F8D33688BE4F10A59A048E58538175,TeamLogo_12F8D33688BE4F10A59A048E58538175.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
14A2B6E2-62D4-4F68-B5C8-99DD51B84249,"Aspen, CO Regional University",ASP,equipmentVehicle,"a compact cliff funicular car with a steep roof, single centered headlamp, and cable-grip undercarriage",#0A3D2E,#209CD9,TeamLogo_14A2B6E262D44F68B5C899DD51B84249,TeamLogo_14A2B6E262D44F68B5C899DD51B84249.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
15C38543-2FBB-438F-9CC6-26BBB3DD8B38,"Cheswold, DE Research Institute",CHE,originalCharacter,"a yarrow-crowned crossing spirit, an original non-human path guardian with three swept leaf-plumes and a single arched bridge-like body silhouette for Yarrow Crossing",#F65AF1,#0C208D,TeamLogo_15C385432FBB438F9CC626BBB3DD8B38,TeamLogo_15C385432FBB438F9CC626BBB3DD8B38.png,approved,True,Owner approved the originalCharacter 20/32/44px light/dark specimen on 2026-08-20.
161EBDA6-B092-4127-B535-359070BDEFBE,"Alabaster, AL Storm Wreckers",ALA,framedEmblem,"a cut-corner shield framing one storm-scarred ridge beacon on a sharp stepped ridgeline for Alabaster, AL Storm Wreckers",#0C5F5E,#CCEB94,TeamLogo_161EBDA6B0924127B535359070BDEFBE,TeamLogo_161EBDA6B0924127B535359070BDEFBE.png,approved,True,Owner approved the framedEmblem 20/32/44px light/dark specimen on 2026-08-20.
16A673C3-8E4D-4C59-A0EA-2D3047C8D6EA,"Alexander City, AL Technical Institute",ALE,abstractMotion,"an original forked storm ribbon coiling around a spring-eye void, a single abstract force symbol for Thornby Springs",#B675D7,#272F77,TeamLogo_16A673C38E4D4C59A0EA2D3047C8D6EA,TeamLogo_16A673C38E4D4C59A0EA2D3047C8D6EA.png,approved,True,Owner approved the abstractMotion 20/32/44px light/dark specimen on 2026-08-20.
1894B47A-15D1-4F0D-B847-A3B274E237F4,"Barbourmeade, KY Iron Wayfarers",BAR,animalCreature,"a bold wayfinding explorer shaped by the Reach landscape of Barbourmeade, KY Iron Wayfarers",#2F3211,#17EE2C,TeamLogo_1894B47A15D14F0DB847A3B274E237F4,TeamLogo_1894B47A15D14F0DB847A3B274E237F4.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
1982A97F-CD2B-459B-AF23-89D5151A9829,"Braintree Town, MA Technical College",BRA,regionalSymbol,"a black-stone schoolhouse bell tower rising from a still mere for Braintree Town, MA Normal Institute",#AE8DF7,#380CA7,TeamLogo_1982A97FCD2B459BAF2389D5151A9829,TeamLogo_1982A97FCD2B459BAF2389D5151A9829.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
19AD9AAA-1590-4174-99DB-2C132776E7EA,"Athol, ID Polytechnic Institute",ATH,equipmentVehicle,a massive basin floodgate handwheel mounted on a short square valve housing,#B780D0,#3E1D77,TeamLogo_19AD9AAA1590417499DB2C132776E7EA,TeamLogo_19AD9AAA1590417499DB2C132776E7EA.png,approved,True,Owner approved the 20/32/44px light/dark specimen on 2026-08-20.
1A6F2FC4-094A-489B-A311-0629E8DE90B7,"Afton, WY Slate Ironsides",AFT,originalCharacter,"a slate-faced hollow golem, an original non-human basin guardian with stepped quarry-stone shoulders and a deep crescent eye slit for Dunmore Hollow",#0F5735,#41ECB3,TeamLogo_1A6F2FC4094A489BA3110629E8DE90B7,TeamLogo_1A6F2FC4094A489BA3110629E8DE90B7.png,approved,True,Owner approved the originalCharacter 20/32/44px light/dark specimen on 2026-08-20.
